,ticker,open,high,low,close,volume,timestamp
42,BJRI,32.71,33.04,31.83,32.9,390760.0,2020-03-04
43,BJRI,32.03,32.03,28.65,28.85,659079.0,2020-03-05
44,BJRI,27.95,30.05,27.32,29.64,788107.0,2020-03-06
45,BJRI,28.0,28.22,25.45,25.64,766546.0,2020-03-09
46,BJRI,26.85,26.85,23.81,25.3,597629.0,2020-03-10
47,BJRI,24.23,24.365,21.13,21.39,684764.0,2020-03-11
48,BJRI,19.91,19.91,17.325,18.35,868326.0,2020-03-12
49,BJRI,19.48,21.9532,17.23,20.29,698652.0,2020-03-13
50,BJRI,16.89,17.5,12.61,12.88,1158036.0,2020-03-16
51,BJRI,13.33,13.4676,10.3,10.58,1720246.0,2020-03-17
52,BJRI,9.9,10.14,6.01,6.54,1548011.0,2020-03-18
53,BJRI,6.88,8.45,6.03,8.2,2027798.0,2020-03-19
54,BJRI,9.2,9.76,7.53,8.2,2817498.0,2020-03-20
55,BJRI,8.19,10.02,7.68,9.58,1674945.0,2020-03-23
56,BJRI,10.71,13.68,10.71,12.96,2042911.0,2020-03-24
57,BJRI,14.6,16.44,13.03,13.37,2928772.0,2020-03-25
58,BJRI,13.83,16.28,13.45,15.44,1632877.0,2020-03-26
59,BJRI,14.43,15.05,13.32,13.73,1397783.0,2020-03-27
60,BJRI,13.31,14.07,12.75,12.76,1025151.0,2020-03-30
61,BJRI,12.76,14.57,12.5705,13.89,807061.0,2020-03-31
62,BJRI,13.06,13.16,10.5,11.68,1174412.0,2020-04-01
63,BJRI,11.38,12.5673,10.76,11.32,862589.0,2020-04-02
64,BJRI,11.41,11.76,10.94,11.74,844381.0,2020-04-03
65,BJRI,12.86,14.0,12.22,13.85,1142732.0,2020-04-06
66,BJRI,15.56,16.94,14.09,15.12,1392261.0,2020-04-07
67,BJRI,15.58,17.81,15.37,16.92,1142799.0,2020-04-08
68,BJRI,18.16,19.63,17.655,18.1,1561473.0,2020-04-09
69,BJRI,19.05,19.06,16.07,17.13,991958.0,2020-04-13
70,BJRI,18.05,19.39,16.5,16.85,909022.0,2020-04-14
71,BJRI,16.0,16.76,15.51,16.27,602957.0,2020-04-15
72,BJRI,16.33,16.5,14.88,16.03,1002101.0,2020-04-16
73,BJRI,17.52,17.94,16.62,17.39,943450.0,2020-04-17
74,BJRI,16.77,17.79,16.55,16.65,732754.0,2020-04-20
75,BJRI,16.05,17.38,16.05,16.52,923178.0,2020-04-21
76,BJRI,17.16,17.49,16.525,17.04,571247.0,2020-04-22
77,BJRI,17.38,17.4999,16.31,16.39,732281.0,2020-04-23
78,BJRI,16.47,16.83,15.43,16.49,846662.0,2020-04-24
79,BJRI,16.83,18.24,16.6201,17.83,1180451.0,2020-04-27
80,BJRI,18.93,19.424,17.9,19.0,931237.0,2020-04-28
81,BJRI,20.17,23.13,20.0,22.78,1330177.0,2020-04-29
82,BJRI,21.65,22.81,20.71,21.86,709659.0,2020-04-30
83,BJRI,20.7,21.29,19.3,19.92,669378.0,2020-05-01
84,BJRI,19.76,21.07,18.74,20.36,928503.0,2020-05-04
85,BJRI,21.13,21.41,19.39,19.43,830944.0,2020-05-05
86,BJRI,19.58,20.32,18.75,18.85,577031.0,2020-05-06
87,BJRI,19.21,20.01,18.62,19.92,760436.0,2020-05-07
88,BJRI,19.56,21.58,19.0107,21.4,1103481.0,2020-05-08
89,BJRI,21.07,21.28,20.2,20.23,612537.0,2020-05-11
90,BJRI,20.43,20.54,18.56,18.64,798607.0,2020-05-12
91,BJRI,18.62,18.62,16.385,17.13,667824.0,2020-05-13
92,BJRI,16.6,17.7487,15.58,17.055,819353.0,2020-05-14
93,BJRI,16.83,18.07,16.55,17.42,594760.0,2020-05-15
94,BJRI,18.91,20.29,18.875,19.39,1252911.0,2020-05-18
95,BJRI,19.13,20.23,18.07,19.45,727065.0,2020-05-19
96,BJRI,19.99,20.2,18.64,19.12,810444.0,2020-05-20
97,BJRI,18.99,19.78,18.57,19.45,663981.0,2020-05-21
98,BJRI,19.63,19.7399,18.739,19.55,273547.0,2020-05-22
99,BJRI,20.73,21.92,20.39,20.92,834711.0,2020-05-26
100,BJRI,21.58,23.77,21.3672,23.765,1171176.0,2020-05-27
101,BJRI,23.68,23.68,21.57,22.0,922723.0,2020-05-28
102,BJRI,21.74,22.48,21.3,21.72,507165.0,2020-05-29
103,BJRI,21.89,22.8,21.6601,21.8,559860.0,2020-06-01
104,BJRI,22.02,22.39,21.51,22.18,540965.0,2020-06-02
105,BJRI,22.85,25.03,22.84,24.7,832513.0,2020-06-03
106,BJRI,24.5,27.555,23.96,26.32,887519.0,2020-06-04
107,BJRI,29.14,29.53,27.07,27.31,875440.0,2020-06-05
108,BJRI,28.8292,29.04,27.1,28.13,613062.0,2020-06-08
109,BJRI,27.22,27.4376,25.56,26.31,492437.0,2020-06-09
110,BJRI,26.13,26.18,23.3401,24.4,479399.0,2020-06-10
111,BJRI,21.81,23.1199,21.0,21.37,870945.0,2020-06-11
112,BJRI,23.33,23.73,21.06,22.68,613688.0,2020-06-12
113,BJRI,21.19,23.9,21.0,23.34,516556.0,2020-06-15
114,BJRI,24.83,25.015,22.711,23.22,674364.0,2020-06-16
115,BJRI,23.41,23.4899,22.35,22.42,468930.0,2020-06-17
116,BJRI,22.11,23.1,21.77,22.62,508402.0,2020-06-18
117,BJRI,23.12,23.12,21.135,21.28,1195306.0,2020-06-19
118,BJRI,21.0,21.27,20.14,20.62,634487.0,2020-06-22
119,BJRI,21.19,23.02,21.0,22.94,589554.0,2020-06-23
120,BJRI,22.3,22.43,20.48,20.7,594872.0,2020-06-24
121,BJRI,20.2,21.32,20.06,20.95,535694.0,2020-06-25
122,BJRI,20.76,20.9,18.88,19.55,1204726.0,2020-06-26
123,BJRI,19.53,21.2,19.12,20.865,604497.0,2020-06-29
124,BJRI,20.84,21.29,20.09,20.94,483736.0,2020-06-30
125,BJRI,20.99,21.84,19.63,20.39,593851.0,2020-07-01
126,BJRI,21.32,21.32,19.0169,19.3,1085817.0,2020-07-02
127,BJRI,19.79,19.9599,18.2,19.38,518220.0,2020-07-06
128,BJRI,18.82,19.11,18.11,18.21,478148.0,2020-07-07
129,BJRI,18.04,18.73,17.57,18.37,582570.0,2020-07-08
130,BJRI,18.36,18.56,16.73,17.01,795674.0,2020-07-09
131,BJRI,16.81,17.7477,16.52,17.36,395040.0,2020-07-10
132,BJRI,17.76,18.56,16.82,16.94,780034.0,2020-07-13
133,BJRI,16.76,17.09,16.08,16.54,634974.0,2020-07-14
134,BJRI,17.54,19.5971,17.45,19.37,1019665.0,2020-07-15
135,BJRI,18.04,19.16,17.87,18.65,733461.0,2020-07-16
136,BJRI,18.66,18.955,18.16,18.54,626563.0,2020-07-17
137,BJRI,18.46,18.57,17.35,17.75,684386.0,2020-07-20
138,BJRI,18.22,19.17,18.09,18.53,603454.0,2020-07-21
139,BJRI,18.18,19.52,18.0,18.79,665532.0,2020-07-22
140,BJRI,18.71,19.2,18.21,19.0,768809.0,2020-07-23
141,BJRI,19.77,21.01,19.04,20.94,1726923.0,2020-07-24
142,BJRI,20.67,20.94,19.36,19.52,582716.0,2020-07-27
143,BJRI,19.59,20.18,19.5158,20.04,406471.0,2020-07-28
144,BJRI,20.21,21.35,20.2,21.29,651457.0,2020-07-29
145,BJRI,20.62,20.75,20.11,20.6,455974.0,2020-07-30
146,BJRI,20.43,20.515,19.4309,20.06,563434.0,2020-07-31
147,BJRI,20.24,20.24,19.415,19.61,389063.0,2020-08-03
148,BJRI,19.74,20.97,19.69,20.73,347707.0,2020-08-04
149,BJRI,21.0,21.23,20.7,20.99,527027.0,2020-08-05
150,BJRI,20.99,22.08,20.66,21.56,347578.0,2020-08-06
151,BJRI,21.44,22.63,21.145,22.59,311010.0,2020-08-07
152,BJRI,22.88,23.69,22.6,23.24,595137.0,2020-08-10
153,BJRI,23.81,24.55,23.4,24.1,628212.0,2020-08-11
154,BJRI,24.49,25.44,24.14,25.26,598134.0,2020-08-12
155,BJRI,25.08,25.395,24.47,24.865,445465.0,2020-08-13
156,BJRI,24.72,25.76,24.17,25.52,393571.0,2020-08-14
157,BJRI,25.59,25.59,23.92,24.71,259319.0,2020-08-17
158,BJRI,24.7,24.86,23.98,24.72,368092.0,2020-08-18
159,BJRI,24.9,25.54,24.625,25.25,416638.0,2020-08-19
160,BJRI,24.92,26.18,24.57,25.7,430773.0,2020-08-20
161,BJRI,25.51,26.74,25.51,26.22,481007.0,2020-08-21
162,BJRI,26.49,27.15,25.15,27.08,408119.0,2020-08-24
163,BJRI,27.38,28.13,26.59,27.33,397450.0,2020-08-25
164,BJRI,27.4,27.58,26.9101,27.19,309741.0,2020-08-26
165,BJRI,27.31,28.58,27.19,28.26,328728.0,2020-08-27
166,BJRI,28.97,32.27,28.57,32.25,803442.0,2020-08-28
167,BJRI,32.06,32.1359,31.2,31.52,609121.0,2020-08-31
168,BJRI,31.51,32.915,31.1,32.81,419319.0,2020-09-01
169,BJRI,33.0,34.28,32.745,33.84,595402.0,2020-09-02
170,BJRI,33.94,35.46,32.76,34.31,573143.0,2020-09-03
171,BJRI,35.03,35.85,34.0825,34.6,614798.0,2020-09-04
172,BJRI,34.1,35.83,33.31,35.02,614826.0,2020-09-08
173,BJRI,34.99,35.71,33.71,35.5,581524.0,2020-09-09
174,BJRI,35.8,37.3,35.62,36.92,649505.0,2020-09-10
175,BJRI,36.86,37.03,33.7,35.01,828768.0,2020-09-11
176,BJRI,35.73,36.69,35.175,36.54,381191.0,2020-09-14
177,BJRI,36.97,37.61,36.21,37.02,362809.0,2020-09-15
178,BJRI,37.23,37.31,36.08,36.19,392279.0,2020-09-16
179,BJRI,35.41,35.745,34.17,34.47,499346.0,2020-09-17
180,BJRI,34.83,36.02,33.29,33.53,1080665.0,2020-09-18
181,BJRI,32.07,32.565,30.49,32.38,590394.0,2020-09-21
182,BJRI,33.02,33.499,31.48,32.42,529714.0,2020-09-22
183,BJRI,32.42,33.05,30.77,30.86,507693.0,2020-09-23
184,BJRI,31.0,31.695,30.5,30.79,645375.0,2020-09-24
185,BJRI,30.59,31.14,29.691,30.03,351769.0,2020-09-25
186,BJRI,30.59,31.3,30.41,30.96,392809.0,2020-09-28
187,BJRI,30.89,31.08,28.8495,29.49,282936.0,2020-09-29
188,BJRI,29.77,30.53,29.2,29.44,267455.0,2020-09-30
189,BJRI,29.48,30.26,29.4,30.25,180082.0,2020-10-01
190,BJRI,28.66,30.63,28.6,30.52,282640.0,2020-10-02
191,BJRI,31.02,31.68,29.53,30.02,304649.0,2020-10-05
192,BJRI,30.46,31.63,30.03,30.1,351320.0,2020-10-06
193,BJRI,30.46,31.12,30.04,30.94,299023.0,2020-10-07
194,BJRI,31.34,32.51,30.48,32.35,308062.0,2020-10-08
195,BJRI,32.76,33.21,32.22,33.04,247671.0,2020-10-09
196,BJRI,33.12,33.69,32.12,32.53,190887.0,2020-10-12
197,BJRI,32.34,32.34,31.2,31.93,193792.0,2020-10-13
198,BJRI,32.22,33.085,31.74,31.98,216978.0,2020-10-14
199,BJRI,31.59,33.13,31.335,32.68,192364.0,2020-10-15
200,BJRI,32.6,32.915,31.94,32.49,207193.0,2020-10-16
201,BJRI,32.81,33.4799,32.52,32.62,284817.0,2020-10-19
202,BJRI,33.08,33.7473,32.69,32.75,244663.0,2020-10-20
203,BJRI,32.71,32.96,32.165,32.25,177331.0,2020-10-21
204,BJRI,32.25,34.64,32.1,34.19,475832.0,2020-10-22
205,BJRI,33.16,33.61,29.84,31.29,1082859.0,2020-10-23
206,BJRI,30.32,30.8,29.25,30.55,481356.0,2020-10-26
207,BJRI,30.38,30.75,28.77,28.99,277456.0,2020-10-27
208,BJRI,28.35,29.1,27.46,28.03,361417.0,2020-10-28
209,BJRI,28.03,28.595,27.62,28.44,218110.0,2020-10-29
210,BJRI,28.31,28.88,27.7,28.21,363236.0,2020-10-30
211,BJRI,28.73,29.64,28.275,29.6,308601.0,2020-11-02
212,BJRI,30.25,30.65,29.84,29.94,369816.0,2020-11-03
213,BJRI,29.62,30.39,29.23,29.73,228457.0,2020-11-04
214,BJRI,29.98,31.23,29.98,30.82,259659.0,2020-11-05
215,BJRI,30.82,31.5982,30.3201,31.21,184217.0,2020-11-06
216,BJRI,35.12,40.92,35.0,37.98,1254767.0,2020-11-09
217,BJRI,37.67,39.005,36.15,38.73,643828.0,2020-11-10
218,BJRI,38.51,39.15,35.41,36.0,483412.0,2020-11-11
219,BJRI,35.65,36.445,34.71,35.36,281056.0,2020-11-12
220,BJRI,36.6,37.21,36.23,37.04,247671.0,2020-11-13
221,BJRI,39.88,39.88,37.73,38.51,340233.0,2020-11-16
222,BJRI,37.69,38.76,36.87,38.18,293598.0,2020-11-17
223,BJRI,38.59,39.1,37.45,37.65,341047.0,2020-11-18
224,BJRI,37.71,38.01,36.7247,37.55,352125.0,2020-11-19
225,BJRI,37.32,37.32,35.525,35.9,399895.0,2020-11-20
226,BJRI,36.925,37.02,36.08,36.44,251878.0,2020-11-23
227,BJRI,37.43,38.08,36.93,37.56,405057.0,2020-11-24
228,BJRI,37.0,37.13,35.47,35.68,327043.0,2020-11-25
229,BJRI,36.03,36.32,34.59,35.0,174523.0,2020-11-27
230,BJRI,34.9,34.9,32.72,33.03,474880.0,2020-11-30
231,BJRI,33.61,34.32,33.27,34.0,373866.0,2020-12-01
232,BJRI,33.93,35.22,32.6801,35.1,277860.0,2020-12-02
233,BJRI,35.25,36.66,35.12,35.99,251800.0,2020-12-03
234,BJRI,36.16,37.65,36.0834,36.95,329108.0,2020-12-04
235,BJRI,36.59,36.655,34.6468,35.0,340115.0,2020-12-07
236,BJRI,34.47,34.8156,33.57,33.91,429495.0,2020-12-08
237,BJRI,34.17,35.52,34.17,35.32,394765.0,2020-12-09
238,BJRI,34.98,35.6278,34.59,35.56,242412.0,2020-12-10
239,BJRI,35.12,35.42,32.37,32.66,557264.0,2020-12-11
240,BJRI,33.27,33.48,32.35,32.42,331433.0,2020-12-14
241,BJRI,32.66,33.84,32.12,33.37,298185.0,2020-12-15
242,BJRI,34.38,35.08,33.89,34.41,362795.0,2020-12-16
243,BJRI,35.81,36.25,34.905,36.13,415876.0,2020-12-17
244,BJRI,36.01,36.42,35.5001,35.75,494655.0,2020-12-18
245,BJRI,35.19,37.35,34.53,36.9,596508.0,2020-12-21
246,BJRI,36.96,40.17,36.195,39.25,513562.0,2020-12-22
247,BJRI,39.4,40.74,39.08,39.62,315532.0,2020-12-23
248,BJRI,39.74,40.52,38.902,39.1,100353.0,2020-12-24
249,BJRI,39.71,39.71,37.63,37.95,319506.0,2020-12-28
250,BJRI,38.15,38.35,37.2,37.99,339270.0,2020-12-29
251,BJRI,37.98,38.92,37.68,38.04,291882.0,2020-12-30
252,BJRI,38.04,39.35,37.25,38.49,224352.0,2020-12-31
253,BJRI,38.73,38.73,35.83,37.41,478004.0,2021-01-04
254,BJRI,37.51,40.14,37.51,39.68,380834.0,2021-01-05
255,BJRI,39.7,42.65,39.7,41.7,619605.0,2021-01-06
256,BJRI,42.85,43.575,41.9695,43.15,412459.0,2021-01-07
257,BJRI,43.6,44.6,42.7,44.43,363366.0,2021-01-08
258,BJRI,43.44,44.73,43.44,44.48,317130.0,2021-01-11
259,BJRI,44.74,45.65,44.21,45.42,212162.0,2021-01-12
260,BJRI,45.2,46.14,43.91,45.51,230471.0,2021-01-13
261,BJRI,46.06,47.4,45.765,46.75,334217.0,2021-01-14
262,BJRI,47.67,47.67,45.5,46.91,298026.0,2021-01-15
263,BJRI,47.54,49.28,46.82,48.57,424300.0,2021-01-19
264,BJRI,48.57,49.49,46.26,47.35,356603.0,2021-01-20
265,BJRI,46.5,46.83,44.58,46.21,344711.0,2021-01-21
266,BJRI,43.02,45.28,42.7223,45.21,565255.0,2021-01-22
267,BJRI,44.72,45.995,43.5301,45.24,334065.0,2021-01-25
268,BJRI,45.9,45.9,44.17,44.55,199695.0,2021-01-26
269,BJRI,43.2,47.47,43.06,46.65,613546.0,2021-01-27
270,BJRI,46.8,49.18,46.8,47.76,347289.0,2021-01-28
271,BJRI,47.49,47.81,45.8728,46.74,230178.0,2021-01-29
272,BJRI,47.5,47.97,45.4028,46.57,200241.0,2021-02-01
273,BJRI,47.45,47.83,45.585,46.3,264289.0,2021-02-02
274,BJRI,46.38,48.08,46.205,47.91,247435.0,2021-02-03
275,BJRI,48.39,51.66,48.35,51.66,287375.0,2021-02-04
276,BJRI,51.97,52.58,50.495,52.14,195715.0,2021-02-05
277,BJRI,52.58,53.15,51.09,52.59,189885.0,2021-02-08
278,BJRI,53.58,55.09,52.5074,54.14,205469.0,2021-02-09
279,BJRI,54.5,55.81,54.41,54.82,238723.0,2021-02-10
280,BJRI,54.87,55.12,52.0007,53.06,308873.0,2021-02-11
281,BJRI,52.95,53.61,51.12,53.23,365885.0,2021-02-12
282,BJRI,52.64,53.11,49.82,50.17,451771.0,2021-02-16
283,BJRI,49.94,51.48,48.71,50.45,264501.0,2021-02-17
284,BJRI,49.61,53.2,49.61,52.69,285593.0,2021-02-18
285,BJRI,53.0,54.05,52.26,52.33,291453.0,2021-02-19
286,BJRI,51.79,54.09,51.55,53.08,274006.0,2021-02-22
287,BJRI,52.73,54.19,50.58,53.32,243417.0,2021-02-23
288,BJRI,54.25,55.38,53.86,55.11,168270.0,2021-02-24
289,BJRI,54.41,55.91,53.39,55.1,325254.0,2021-02-25
290,BJRI,54.53,56.14,52.9,55.53,184380.0,2021-02-26
291,BJRI,57.23,58.38,56.625,58.21,285253.0,2021-03-01
292,BJRI,59.2,59.93,57.06,58.25,256021.0,2021-03-02
293,BJRI,58.31,60.79,58.0,58.95,296174.0,2021-03-03
294,BJRI,59.14,59.58,54.68,55.92,296621.0,2021-03-04
295,BJRI,57.49,57.49,53.55,56.97,294151.0,2021-03-05
296,BJRI,57.44,60.49,57.31,59.92,555498.0,2021-03-08
297,BJRI,60.44,60.48,56.79,57.65,303220.0,2021-03-09
298,BJRI,58.17,60.0,57.71,59.21,244733.0,2021-03-10
299,BJRI,59.59,60.56,58.59,58.69,319220.0,2021-03-11
300,BJRI,59.44,61.56,59.44,61.56,356849.0,2021-03-12
301,BJRI,61.8,63.42,61.6,62.0,198494.0,2021-03-15
302,BJRI,61.24,62.37,60.09,62.27,341491.0,2021-03-16
303,BJRI,62.34,62.515,59.25,59.91,230423.0,2021-03-17
304,BJRI,59.51,61.245,58.605,59.07,193224.0,2021-03-18
305,BJRI,58.93,61.06,57.63,60.21,419382.0,2021-03-19
306,BJRI,60.0,60.69,57.75,57.82,333811.0,2021-03-22
307,BJRI,56.43,57.0,54.05,54.36,357978.0,2021-03-23
308,BJRI,55.28,56.72,54.03,54.16,256130.0,2021-03-24
309,BJRI,54.3,58.63,54.0,58.51,256897.0,2021-03-25
310,BJRI,59.24,61.08,57.96,59.84,424901.0,2021-03-26
311,BJRI,59.61,59.87,56.49,57.36,254202.0,2021-03-29
312,BJRI,57.55,60.58,56.4301,60.53,266226.0,2021-03-30
313,BJRI,60.37,61.66,57.9,58.08,443778.0,2021-03-31
314,BJRI,58.22,59.78,57.56,59.52,174123.0,2021-04-01
315,BJRI,60.23,60.28,58.08,58.45,248182.0,2021-04-05
316,BJRI,58.53,60.48,58.53,60.38,288337.0,2021-04-06
317,BJRI,60.68,62.06,60.0,60.19,302155.0,2021-04-07
318,BJRI,59.73,60.68,58.54,60.14,179007.0,2021-04-08
319,BJRI,60.2,60.92,59.0,59.63,191474.0,2021-04-09
320,BJRI,59.68,60.56,58.8,59.54,138788.0,2021-04-12
321,BJRI,59.64,59.86,57.0,58.27,189911.0,2021-04-13
322,BJRI,58.5,60.554,58.5,59.37,187675.0,2021-04-14
323,BJRI,60.43,60.64,58.345,58.83,241637.0,2021-04-15
324,BJRI,59.68,60.56,58.12,58.69,487629.0,2021-04-16
325,BJRI,58.95,61.45,58.5,60.4,321628.0,2021-04-19
326,BJRI,60.32,60.88,57.45,58.33,451388.0,2021-04-20
327,BJRI,58.15,59.55,57.35,59.2,247160.0,2021-04-21
328,BJRI,59.11,61.635,58.79,60.42,469289.0,2021-04-22
329,BJRI,58.99,60.41,55.3635,57.0,1354635.0,2021-04-23
330,BJRI,57.63,57.96,54.87,55.51,662818.0,2021-04-26
331,BJRI,55.4,57.635,55.25,55.63,418353.0,2021-04-27
332,BJRI,55.68,58.96,55.135,58.42,332730.0,2021-04-28
333,BJRI,58.76,63.0,58.76,62.0,345749.0,2021-04-29
334,BJRI,61.34,62.38,60.48,60.99,250551.0,2021-04-30
335,BJRI,61.73,61.73,60.08,60.91,208869.0,2021-05-03
336,BJRI,60.65,61.21,59.1,60.96,174249.0,2021-05-04
337,BJRI,60.97,61.5,59.32,60.12,289483.0,2021-05-05
338,BJRI,60.25,60.47,58.68,59.95,202202.0,2021-05-06
339,BJRI,59.48,62.0,59.03,59.38,406122.0,2021-05-07
340,BJRI,59.16,59.91,56.9,56.99,377200.0,2021-05-10
341,BJRI,56.63,56.63,54.172,55.92,339844.0,2021-05-11
342,BJRI,55.67,55.79,52.0,52.44,524207.0,2021-05-12
343,BJRI,52.32,54.15,51.04,53.88,259539.0,2021-05-13
344,BJRI,54.2,56.04,54.2,54.96,162327.0,2021-05-14
345,BJRI,54.89,57.09,53.93,57.04,223477.0,2021-05-17
346,BJRI,56.84,57.41,55.3403,56.11,178192.0,2021-05-18
347,BJRI,55.41,55.7,54.05,55.13,226809.0,2021-05-19
348,BJRI,55.25,55.54,53.9,54.89,226447.0,2021-05-20
349,BJRI,55.4,55.97,53.33,53.6,220854.0,2021-05-21
350,BJRI,53.87,55.625,53.1,55.34,179163.0,2021-05-24
351,BJRI,55.71,56.74,53.65,53.86,277853.0,2021-05-25
352,BJRI,53.86,55.87,53.7601,55.35,149676.0,2021-05-26
353,BJRI,55.85,56.23,55.0,55.77,179585.0,2021-05-27
354,BJRI,55.58,55.98,54.5,55.28,196227.0,2021-05-28
355,BJRI,54.74,55.58,53.57,54.26,534063.0,2021-06-01
356,BJRI,54.41,54.87,53.49,53.63,167547.0,2021-06-02
357,BJRI,53.29,53.49,50.49,50.87,406289.0,2021-06-03
358,BJRI,51.37,51.94,50.43,51.61,170313.0,2021-06-04
359,BJRI,51.91,52.52,51.3237,52.16,202875.0,2021-06-07
360,BJRI,52.4,56.7409,52.4,56.0,248150.0,2021-06-08
361,BJRI,55.46,56.0,54.22,54.43,245044.0,2021-06-09
362,BJRI,54.7,54.7,51.53,51.66,337237.0,2021-06-10
363,BJRI,52.15,53.26,51.7,51.75,144064.0,2021-06-11
364,BJRI,52.0,52.29,50.74,51.01,222446.0,2021-06-14
365,BJRI,51.02,51.14,49.57,50.41,239559.0,2021-06-15
366,BJRI,50.26,50.57,49.43,50.0,322821.0,2021-06-16
367,BJRI,49.96,50.7,47.45,48.57,273036.0,2021-06-17
368,BJRI,47.85,49.045,46.898,47.06,394776.0,2021-06-18
369,BJRI,46.88,49.17,46.665,48.45,438641.0,2021-06-21
370,BJRI,48.33,49.01,47.2568,48.77,129593.0,2021-06-22
371,BJRI,48.71,49.15,48.295,48.53,166139.0,2021-06-23
372,BJRI,48.8,50.64,48.605,50.54,256405.0,2021-06-24
373,BJRI,50.66,50.89,48.532,48.74,1076079.0,2021-06-25
374,BJRI,48.68,48.68,46.5,48.56,374712.0,2021-06-28
375,BJRI,48.91,48.91,47.95,48.17,147858.0,2021-06-29
376,BJRI,47.9,49.4,47.775,49.14,175987.0,2021-06-30
377,BJRI,49.7,49.85,48.62,48.95,154397.0,2021-07-01
378,BJRI,48.97,48.97,47.59,48.01,122308.0,2021-07-02
379,BJRI,48.01,48.08,46.61,47.63,165212.0,2021-07-06
380,BJRI,47.0,47.78,46.54,46.97,254561.0,2021-07-07
381,BJRI,46.4563,47.27,45.64,45.81,239330.0,2021-07-08
382,BJRI,46.71,48.43,45.99,48.25,352792.0,2021-07-09
383,BJRI,47.76,49.35,47.76,48.84,257726.0,2021-07-12
384,BJRI,48.5,48.97,47.24,47.65,172314.0,2021-07-13
385,BJRI,48.0,48.9,46.275,46.48,290464.0,2021-07-14
386,BJRI,46.22,46.44,43.66,44.42,304391.0,2021-07-15
387,BJRI,45.13,45.91,42.86,42.98,239994.0,2021-07-16
388,BJRI,41.68,42.0,39.82,41.02,672920.0,2021-07-19
389,BJRI,40.68,43.54,40.5,42.61,386206.0,2021-07-20
390,BJRI,43.09,45.06,43.09,44.97,285249.0,2021-07-21
391,BJRI,44.64,45.13,43.7,44.5,291787.0,2021-07-22
392,BJRI,44.84,44.99,43.55,44.31,211993.0,2021-07-23
393,BJRI,44.4,46.68,44.0,45.6,216267.0,2021-07-26
394,BJRI,45.29,45.995,44.455,45.45,155436.0,2021-07-27
395,BJRI,45.36,45.48,41.36,42.2,535983.0,2021-07-28
